start,start_time,end,end_time
Mariehamn,2023-04-12 11:24:47,Stockholm,2023-04-12 16:51:13
Stockholm,2023-04-12 18:11:30,Turku,2023-04-13 04:38:15
Turku,2023-04-13 05:43:19,Mariehamn,2023-04-13 11:14:11
Mariehamn,2023-04-13 11:28:59,Stockholm,2023-04-13 16:55:27
Stockholm,2023-04-13 18:10:38,Turku,2023-04-14 04:32:27
Turku,2023-04-14 05:42:38,Mariehamn,2023-04-14 11:13:29
Mariehamn,2023-04-14 11:28:40,Stockholm,2023-04-14 16:54:52
Stockholm,2023-04-14 18:10:11,Turku,2023-04-15 04:37:05
Turku,2023-04-15 05:47:27,Mariehamn,2023-04-15 11:13:18
Mariehamn,2023-04-15 11:28:26,Stockholm,2023-04-15 16:59:32
Stockholm,2023-04-15 17:59:42,Turku,2023-04-16 04:36:42
Turku,2023-04-16 05:41:53,Mariehamn,2023-04-16 11:12:55
Mariehamn,2023-04-16 11:22:55,Stockholm,2023-04-16 16:53:58
Stockholm,2023-04-16 17:59:08,Turku,2023-04-17 04:36:12
Turku,2023-04-17 06:26:22,Mariehamn,2023-04-20 11:10:20
Mariehamn,2023-04-20 11:31:00,Stockholm,2023-04-20 17:07:22
Stockholm,2023-04-20 18:42:41,Turku,2023-04-21 04:39:35
Turku,2023-04-21 05:59:56,Mariehamn,2023-04-21 11:10:59
Mariehamn,2023-04-21 11:30:58,Stockholm,2023-04-21 16:52:15
Stockholm,2023-04-21 18:02:25,Turku,2023-04-22 04:39:43
Turku,2023-04-22 05:44:54,Mariehamn,2023-04-22 11:10:45
Mariehamn,2023-04-22 11:30:54,Stockholm,2023-04-22 16:57:10
Stockholm,2023-04-22 18:02:19,Turku,2023-04-23 04:39:18
Turku,2023-04-23 05:49:37,Mariehamn,2023-04-23 11:10:50
Mariehamn,2023-04-23 11:30:29,Stockholm,2023-04-23 16:51:55
Stockholm,2023-04-23 17:57:06,Turku,2023-04-24 04:33:58
Turku,2023-04-24 05:44:17,Mariehamn,2023-04-24 11:10:27
Mariehamn,2023-04-24 11:30:06,Stockholm,2023-04-24 16:51:31
Stockholm,2023-04-24 17:56:41,Turku,2023-04-25 04:38:50
Turku,2023-04-25 05:49:04,Mariehamn,2023-04-25 11:14:58
Mariehamn,2023-04-25 11:30:07,Stockholm,2023-04-25 16:51:24
Stockholm,2023-04-25 18:06:43,Turku,2023-04-26 04:38:40
Turku,2023-04-26 05:43:49,Mariehamn,2023-04-26 11:14:59
Mariehamn,2023-04-26 11:29:58,Stockholm,2023-04-26 17:01:08
Stockholm,2023-04-26 18:06:17,Turku,2023-04-27 04:33:17
Turku,2023-04-27 05:43:36,Mariehamn,2023-04-27 11:14:37
Mariehamn,2023-04-27 11:24:35,Stockholm,2023-04-27 17:00:48
Stockholm,2023-04-27 18:20:59,Turku,2023-04-28 04:38:16
Turku,2023-04-28 05:43:35,Mariehamn,2023-04-28 11:14:40
Mariehamn,2023-04-28 11:24:40,Stockholm,2023-04-28 16:55:47
Stockholm,2023-04-28 18:16:08,Turku,2023-04-29 04:33:14
Turku,2023-04-29 05:43:24,Mariehamn,2023-04-29 11:09:27
Mariehamn,2023-04-29 11:24:35,Stockholm,2023-04-29 17:00:37
Stockholm,2023-04-29 18:05:48,Turku,2023-04-30 04:38:06
Turku,2023-04-30 05:43:16,Mariehamn,2023-04-30 11:14:10
Mariehamn,2023-04-30 11:29:21,Stockholm,2023-04-30 17:00:35
Stockholm,2023-04-30 18:05:45,Turku,2023-05-01 04:37:51
Turku,2023-05-01 05:48:03,Mariehamn,2023-05-01 11:14:06
Mariehamn,2023-05-01 11:29:07,Stockholm,2023-05-01 17:00:25
Stockholm,2023-05-01 18:05:36,Turku,2023-05-02 04:37:41
Turku,2023-05-02 05:42:51,Mariehamn,2023-05-02 11:13:58
Mariehamn,2023-05-02 11:23:57,Stockholm,2023-05-02 17:00:10
Stockholm,2023-05-02 18:00:19,Turku,2023-05-03 04:37:17
Turku,2023-05-03 05:47:29,Mariehamn,2023-05-03 11:15:15
Mariehamn,2023-05-03 11:35:15,Stockholm,2023-05-03 16:56:25
Stockholm,2023-05-03 18:26:46,Turku,2023-05-04 04:38:30
Turku,2023-05-04 05:43:39,Mariehamn,2023-05-04 11:14:37
Mariehamn,2023-05-04 11:29:48,Stockholm,2023-05-04 16:55:52
Stockholm,2023-05-04 18:06:01,Turku,2023-05-05 04:33:04
Turku,2023-05-05 05:43:24,Mariehamn,2023-05-05 11:14:26
Mariehamn,2023-05-05 11:28:45,Stockholm,2023-05-05 16:55:19
Stockholm,2023-05-05 18:00:38,Turku,2023-05-06 04:32:31
Turku,2023-05-06 05:42:40,Mariehamn,2023-05-06 11:13:34
Mariehamn,2023-05-06 11:38:11,Stockholm,2023-05-06 16:59:42
Stockholm,2023-05-06 17:49:53,Turku,2023-05-07 04:31:38
Turku,2023-05-07 05:46:57,Mariehamn,2023-05-07 11:12:44
Mariehamn,2023-05-07 11:28:06,Stockholm,2023-05-07 16:59:15
Stockholm,2023-05-07 18:04:24,Turku,2023-05-08 04:36:12
Turku,2023-05-08 05:41:27,Mariehamn,2023-05-08 11:12:31
